2017-07-19 15:09:48 | 8463 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.008758 | 0.008801 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:48 | 8463 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.009358 | 0.009385 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:48 | 8463 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.009521 | 0.009547 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:55 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.012232 | 0.012253 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:55 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.012288 | 0.012352 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:55 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.01006 | 0.010102 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:57 | 8463 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.012515 | 0.012535 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:57 | 8463 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.013195 | 0.013223 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:57 | 8463 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.012784 | 0.012841 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:59 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.011227 | 0.011252 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:59 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.012015 | 0.012041 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:09:59 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.011476 | 0.011519 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:12:13 | 8463 | /index.php | query | 955db8c35d276d5ddddd5a3a744654e96a8e4d86 | 0.073821 | 0.073844 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:12:13 | 8463 | /index.php | query | 955db8c35d276d5ddddd5a3a744654e96a8e4d86 | 0.009749 | 0.009775 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:12:14 | 8463 | /index.php | query | 955db8c35d276d5ddddd5a3a744654e96a8e4d86 | 0.010772 | 0.010798 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:12:16 | 8462 | /index.php | query | 955db8c35d276d5ddddd5a3a744654e96a8e4d86 | 0.011607 | 0.01163 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:12:17 | 8462 | /index.php | query | 955db8c35d276d5ddddd5a3a744654e96a8e4d86 | 0.014255 | 0.014277 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:12:17 | 8462 | /index.php | query | 955db8c35d276d5ddddd5a3a744654e96a8e4d86 | 0.012478 | 0.012504 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 16:59:18 | 8463 | /index.php | query | 4f2220568e784cb7bb99976890a9bbc1caa8a823 | 0.012442 | 0.01247 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 16:59:20 | 8463 | /index.php | query | 4f2220568e784cb7bb99976890a9bbc1caa8a823 | 0.012327 | 0.012354 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 16:59:21 | 8463 | /index.php | query | 4f2220568e784cb7bb99976890a9bbc1caa8a823 | 0.030817 | 0.030845 | SELECT * FROM `iwide_inter_member_config` WHERE `inter_id` = 'a484619482' AND `type_code` = 'member_card_url' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-19 16:59:21 | 8463 | /index.php | query | 4f2220568e784cb7bb99976890a9bbc1caa8a823 | 0.01057 | 0.010598 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
